ObjectId,Date,Daily_Cases,Cumulative_Cases,Recoveries,Total_Recoveries,Deaths,Total_Deaths,New_ICU_Admissions,Current_ICU___Total,Current_ICU___Active,Cumulative_ICU_Admissions,New_IP_Admissions_Total,Current_Hospitalizations___Tota,Current_Hospitalizations___Acti,Cumulative_IP_Admissions,Non_ICU_Hospitalizations___Acti,Active_Cases__not_hospitalized_,Positivity_Rate,Daily_Tests,Cumulative_Tests
477,2021/06/29 05:00:00+00,73,56177,73,53325,4,1153,3,38,26,824,9,198,105,3838,79,1594,6.3,1663,830956
478,2021/06/30 05:00:00+00,79,56256,373,53698,0,1153,1,36,24,825,9,195,101,3847,77,1304,6,1473,832429
479,2021/07/01 05:00:00+00,51,56307,68,53766,1,1154,3,36,23,828,7,190,97,3854,74,1290,5.4,1304,833733
480,2021/07/02 05:00:00+00,45,56352,86,53852,2,1156,3,36,24,831,2,184,89,3856,65,1255,5.8,984,834717
481,2021/07/03 05:00:00+00,62,56414,53,53905,2,1158,3,37,24,834,3,177,82,3859,58,1269,6,1174,835891
482,2021/07/04 05:00:00+00,68,56482,68,53973,1,1159,0,33,21,834,7,180,86,3866,65,1264,6.3,1129,837020
483,2021/07/05 05:00:00+00,42,56524,75,54048,1,1160,2,32,19,836,9,180,88,3875,69,1228,5.9,998,838018
484,2021/07/06 05:00:00+00,69,56593,45,54093,2,1162,1,30,17,837,5,177,87,3880,70,1251,5.6,1668,839686
485,2021/07/07 05:00:00+00,71,56664,53,54146,0,1162,0,30,16,837,6,171,82,3886,66,1274,5.4,1680,841366
486,2021/07/08 05:00:00+00,72,56736,54,54200,1,1163,3,31,16,840,7,172,78,3893,62,1295,5.1,1597,842963
487,2021/07/09 05:00:00+00,80,56816,66,54266,2,1165,3,32,18,843,9,170,79,3902,61,1306,4.9,1259,844222
488,2021/07/10 05:00:00+00,63,56879,53,54319,0,1165,3,34,20,846,1,164,71,3903,51,1324,5.2,1397,845619
489,2021/07/11 05:00:00+00,32,56911,74,54393,0,1165,1,31,17,847,5,164,72,3908,55,1281,4.9,1336,846955
490,2021/07/12 05:00:00+00,23,56934,37,54430,1,1166,0,30,16,847,9,160,71,3917,55,1267,4.4,1043,847998
491,2021/07/13 05:00:00+00,51,56985,40,54470,0,1166,0,28,16,847,5,158,66,3922,50,1283,3.9,1649,849647
492,2021/07/14 05:00:00+00,40,57025,36,54506,0,1166,1,27,15,848,6,160,68,3928,53,1285,3.4,1644,851291
493,2021/07/15 05:00:00+00,39,57064,47,54553,2,1168,2,27,16,850,4,151,59,3932,43,1284,3,1658,852949
494,2021/07/16 05:00:00+00,62,57126,58,54611,0,1168,0,27,16,850,8,150,59,3940,43,1288,3.2,1423,854372
495,2021/07/17 05:00:00+00,50,57176,72,54683,0,1168,0,25,14,850,7,154,63,3947,49,1262,3.6,1205,855577
496,2021/07/18 05:00:00+00,26,57202,36,54719,1,1169,3,27,14,853,2,152,60,3949,46,1254,3.5,1265,856842
497,2021/07/19 05:00:00+00,30,57232,36,54755,2,1171,1,28,15,854,3,145,56,3952,41,1250,3.6,1054,857896
498,2021/07/20 05:00:00+00,38,57270,35,54790,2,1173,1,28,15,855,2,138,50,3954,35,1257,3.5,1898,859794
499,2021/07/21 05:00:00+00,49,57319,426,55216,0,1173,0,28,14,855,5,137,49,3959,35,881,3.3,1555,861349
500,2021/07/22 05:00:00+00,36,57355,27,55243,1,1174,0,28,14,855,6,137,49,3965,35,889,3,1497,862846
501,2021/07/23 05:00:00+00,62,57417,47,55290,0,1174,0,27,11,855,7,137,49,3972,38,904,3.2,1486,864332
502,2021/07/24 05:00:00+00,27,57444,30,55320,1,1175,1,27,11,856,2,137,50,3974,39,899,3.2,1466,865798
503,2021/07/25 05:00:00+00,15,57459,32,55352,1,1176,0,26,10,856,6,143,56,3980,46,875,3,1241,867039
504,2021/07/26 05:00:00+00,16,57475,42,55394,1,1177,2,26,12,858,2,141,53,3982,41,851,2.7,1117,868156
505,2021/07/27 05:00:00+00,28,57503,33,55427,0,1177,3,29,14,861,2,137,51,3984,37,848,2.5,1648,869804
506,2021/07/28 05:00:00+00,54,57557,29,55456,2,1179,2,29,15,863,3,134,48,3987,33,874,2.2,1794,871598
507,2021/07/29 05:00:00+00,40,57597,30,55486,1,1180,1,27,15,864,2,129,51,3989,36,880,2.3,1613,873211
508,2021/07/30 05:00:00+00,20,57617,21,55507,3,1183,0,22,11,864,4,125,47,3993,36,880,2.3,1278,874489
509,2021/07/31 05:00:00+00,33,57650,33,55540,0,1183,1,22,12,865,7,129,51,4000,39,876,2.6,1394,875883
510,2021/08/01 05:00:00+00,20,57670,31,55571,0,1183,0,20,10,865,2,130,47,4002,37,869,2.8,826,876709
511,2021/08/02 05:00:00+00,21,57691,12,55583,0,1183,0,20,9,865,3,129,47,4005,38,878,2.6,1362,878071
512,2021/08/03 05:00:00+00,13,57704,17,55600,1,1184,0,19,8,865,5,126,45,4010,37,875,2.3,1086,879157
513,2021/08/04 05:00:00+00,34,57738,21,55621,0,1184,0,18,7,865,3,124,44,4013,37,889,2.2,1869,881026
514,2021/08/05 05:00:00+00,25,57763,17,55638,0,1184,0,17,7,865,4,122,45,4017,38,896,1.9,1680,882706
515,2021/08/06 05:00:00+00,29,57792,15,55653,0,1184,1,17,8,866,5,119,46,4022,38,909,1.9,1380,884086
516,2021/08/07 05:00:00+00,46,57838,33,55686,0,1184,1,18,8,867,3,118,43,4025,35,925,2.4,1269,885355
