"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-06,"BC","Fraser","Unknown",0,0
2020-05-06,"BC","Interior","All",1,1.14
2020-05-06,"BC","Interior","East Kootenay",0,0.14
2020-05-06,"BC","Interior","Kootenay Boundary",0,0.14
2020-05-06,"BC","Interior","Okanagan",0,0.29
2020-05-06,"BC","Interior","Thompson Cariboo Shuswap",1,0.57
2020-05-06,"BC","Northern","All",0,1.14
2020-05-06,"BC","Northern","Northeast",0,0.14
2020-05-06,"BC","Northern","Northern Interior",0,1
2020-05-06,"BC","Northern","Northwest",0,0
2020-05-06,"BC","Northern","Unknown",0,0
2020-05-06,"BC","Northern","Unknown HSDA - Northern HA",0,0
2020-05-06,"BC","Vancouver Coastal","All",9,6.14
2020-05-06,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",3,1.71
2020-05-06,"BC","Vancouver Coastal","Richmond",0,0.86
2020-05-06,"BC","Vancouver Coastal","Unknown",0,0
2020-05-06,"BC","Vancouver Coastal","Vancouver",6,3.57
2020-05-06,"BC","Vancouver Island","All",0,0.57
2020-05-06,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-06,"BC","Vancouver Island","North Vancouver Island",0,0.57
2020-05-06,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-06,"Out of Canada","Out of Canada","Out of Canada",0,0.43
2020-05-07,"BC","All","All",24,23.14
2020-05-07,"BC","Fraser","All",14,15.29
2020-05-07,"BC","Fraser","Fraser East",9,6.71
2020-05-07,"BC","Fraser","Fraser North",1,2.86
2020-05-07,"BC","Fraser","Fraser South",4,5.71
2020-05-07,"BC","Fraser","Unknown",0,0
2020-05-07,"BC","Interior","All",1,0.57
2020-05-07,"BC","Interior","East Kootenay",0,0.14
2020-05-07,"BC","Interior","Kootenay Boundary",0,0
2020-05-07,"BC","Interior","Okanagan",1,0.29
2020-05-07,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-07,"BC","Northern","All",1,0.86
2020-05-07,"BC","Northern","Northeast",0,0.14
2020-05-07,"BC","Northern","Northern Interior",1,0.71
2020-05-07,"BC","Northern","Northwest",0,0
2020-05-07,"BC","Northern","Unknown",0,0
