date,Canada,isPartial,Alberta,British Columbia,Saskatchewan,Manitoba,Ontario,Quebec,Newfoundland,Nova Scotia,New Brunswick,Prince Edward Island,Yukon,Northwest Territories,Nunavut
2020-07-19,40,False,26,36,35,18,27,19,33,0,0,0,0,0,-1
2020-07-26,40,False,54,41,18,0,17,9,0,0,0,0,0,0,-1
2020-08-02,37,False,46,48,0,36,34,22,32,0,0,0,0,0,-1
2020-08-09,32,False,53,24,17,0,31,33,0,21,26,62,0,0,-1
2020-08-16,45,False,46,11,53,18,20,5,0,21,26,62,0,0,-1
2020-08-23,48,False,72,20,35,18,42,44,31,0,0,0,0,0,-1
2020-08-30,41,False,26,28,50,35,32,18,59,0,25,61,0,0,-1
2020-09-06,33,False,44,20,34,18,26,31,0,41,0,0,0,0,-1
2020-09-13,46,False,25,30,34,0,20,35,29,20,25,0,0,0,-1
2020-09-20,45,False,31,35,17,34,34,40,60,19,0,0,0,0,-1
2020-09-27,29,False,13,24,51,34,36,18,0,41,25,65,0,0,-1
2020-10-04,37,False,13,37,0,17,44,18,31,62,25,0,0,0,-1
2020-10-11,42,False,42,39,18,54,30,29,34,0,27,75,0,0,-1
2020-10-18,43,False,21,35,52,35,24,44,0,0,0,0,0,0,-1
2020-10-25,46,False,42,57,17,34,29,14,0,43,27,0,0,0,-1
2020-11-01,22,False,24,11,15,0,24,13,0,18,24,0,0,0,-1
2020-11-08,31,False,34,29,16,16,25,56,0,20,0,0,0,0,-1
2020-11-15,43,False,47,17,0,16,34,14,0,20,26,68,0,0,-1
2020-11-22,24,False,26,46,17,48,23,23,0,39,0,0,0,0,-1
2020-11-29,34,False,40,25,0,16,17,45,0,20,25,68,0,97,-1
2020-12-06,56,False,61,46,51,16,30,42,33,0,26,0,0,87,-1
2020-12-13,55,False,40,29,35,17,39,33,100,0,53,0,0,0,-1
2020-12-20,33,False,7,22,18,35,43,35,37,24,0,75,0,0,-1
2020-12-27,33,False,41,21,18,0,24,30,0,0,0,0,0,0,-1
2021-01-03,44,False,25,33,17,16,28,32,30,20,23,0,0,0,-1
2021-01-10,42,False,13,51,17,48,32,32,0,20,0,0,0,0,-1
2021-01-17,41,False,66,21,50,33,31,32,0,20,24,67,0,0,-1
2021-01-24,43,False,47,42,50,33,23,46,0,20,0,0,0,0,-1
2021-01-31,53,False,60,63,34,17,35,46,0,20,51,0,82,0,-1
2021-02-07,58,False,72,38,16,16,36,18,29,0,0,66,0,0,-1
2021-02-14,55,False,69,38,35,85,58,33,29,100,0,0,0,0,-1
2021-02-21,59,False,74,50,51,34,78,42,0,40,25,0,0,0,-1
2021-02-28,77,False,48,29,17,34,57,56,29,20,0,62,93,0,-1
2021-03-07,68,False,34,51,52,68,51,45,30,0,26,68,0,0,-1
2021-03-14,74,False,72,61,0,16,53,47,0,0,48,0,0,0,-1
2021-03-21,50,False,67,60,100,17,47,42,0,0,51,0,0,0,-1
2021-03-28,52,False,34,42,34,18,58,9,64,0,0,0,0,0,-1
2021-04-04,72,False,86,54,17,51,47,50,0,61,0,0,0,0,-1
2021-04-11,67,False,33,65,16,49,65,36,0,39,0,0,0,0,-1
2021-04-18,50,False,52,26,33,49,35,49,31,58,0,0,0,0,-1
2021-04-25,45,False,39,34,0,33,27,48,0,0,0,0,0,0,-1
2021-05-02,58,False,51,56,0,17,41,86,31,38,49,68,0,0,-1
2021-05-09,86,False,79,85,53,68,100,51,0,99,0,0,0,0,-1
2021-05-16,79,False,100,70,34,32,58,65,0,98,26,0,0,0,-1
2021-05-23,67,False,67,34,0,33,51,38,0,59,51,0,0,0,-1
2021-05-30,59,False,49,91,17,33,57,46,32,0,0,0,0,86,-1
2021-06-06,65,False,27,60,34,33,45,33,32,42,0,0,0,81,-1
2021-06-13,84,False,75,86,53,69,60,59,65,63,0,67,0,98,-1
2021-06-20,56,False,71,53,55,18,57,52,34,87,27,0,0,0,-1
2021-06-27,42,False,57,30,19,19,30,28,33,65,53,0,0,0,-1
2021-07-04,37,False,43,22,0,19,43,24,0,21,26,0,0,0,-1
2021-07-11,59,False,36,52,0,38,68,44,0,44,54,70,0,0,-1
2021-07-18,45,False,51,45,19,0,41,40,0,44,53,0,0,0,-1
2021-07-25,59,False,59,22,19,39,46,28,0,44,53,0,0,0,-1
2021-08-01,40,False,29,52,19,0,24,44,0,64,0,0,0,0,-1
2021-08-08,57,False,52,31,0,0,38,39,0,22,0,0,0,0,-1
2021-08-15,59,False,44,69,36,38,50,29,34,21,52,64,0,94,-1
2021-08-22,41,False,25,15,0,0,38,24,0,0,26,0,0,0,-1
2021-08-29,44,False,38,18,19,39,25,57,0,21,0,0,0,0,-1
2021-09-05,57,False,46,32,39,20,44,63,33,0,29,0,0,0,-1
2021-09-12,76,False,66,63,55,20,86,34,34,41,0,0,0,0,-1
2021-09-19,62,False,29,45,36,77,63,58,32,20,0,0,0,0,-1
2021-09-26,49,False,59,49,18,20,54,54,32,20,0,0,0,0,-1
2021-10-03,71,False,62,48,44,29,56,63,25,16,86,0,0,0,-1
2021-10-10,62,False,63,70,0,14,50,47,46,30,20,51,0,0,-1
2021-10-17,91,False,81,59,64,26,66,89,23,85,78,0,0,0,-1
2021-10-24,82,False,97,47,51,39,58,76,45,44,0,0,0,0,-1
2021-10-31,74,False,77,28,40,53,49,53,47,44,20,0,0,0,-1
2021-11-07,100,False,71,78,13,52,81,81,0,45,20,100,0,0,-1
2021-11-14,96,False,94,39,37,37,68,100,0,42,56,49,0,0,-1
2021-11-21,76,False,44,65,50,62,42,59,44,28,36,0,0,64,-1
2021-11-28,66,False,55,48,13,12,60,53,0,14,37,48,0,0,-1
2021-12-05,82,False,82,65,26,63,62,64,46,44,74,0,0,0,-1
2021-12-12,89,False,97,100,40,38,87,77,0,29,79,0,0,0,-1
2021-12-19,50,False,22,40,28,0,37,54,0,45,0,50,0,0,-1
2021-12-26,44,False,56,29,13,51,44,39,22,14,0,0,0,0,-1
2022-01-02,65,True,60,53,22,22,30,61,34,0,33,0,0,0,-1
