"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","190696","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","192220","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","193824","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imputed rental fees for housing [C142]","Dollars","81","millions","6","v61988969","1.1.1.12","195176","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","3449","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","3494","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","3885","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","4073","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","4411","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","4007","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Maintenance and repair of the dwelling [C143]","Dollars","81","millions","6","v61988970","1.1.1.13","3793","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7040","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7152","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7204","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7268","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7304","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7396","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Water supply and sanitation services [C144]","Dollars","81","millions","6","v61988971","1.1.1.14","7448","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","27972","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","28369","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","28436","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","28296","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","28412","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","29123","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Electricity, gas and other fuels [C145]","Dollars","81","millions","6","v61988972","1.1.1.15","29581","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","65426","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","61936","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","71823","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","73083","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","75278","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","71794","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furnishings, household equipment and other goods and services related to the dwelling and property [C15]","Dollars","81","millions","6","v61988973","1.1.1.16","72054","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","19507","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","19777","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","23492","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","23865","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","23747","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","23885","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Furniture, furnishings, carpets and other floor coverings [C151]","Dollars","81","millions","6","v61988974","1.1.1.17","23123","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","3260","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","2972","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","3824","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","3780","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","4024","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","3476","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household textiles [C152]","Dollars","81","millions","6","v61988975","1.1.1.18","3748","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","9938","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","10747","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","12198","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","12826","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","13118","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","12285","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Household appliances [C153]","Dollars","81","millions","6","v61988976","1.1.1.19","11896","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","6101","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","6831","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","7732","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","7768","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","8757","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Tools and equipment for house and garden [C154]","Dollars","81","millions","6","v61988977","1.1.1.20","7348","","","","0"
